"Date","Price","Open","High","Low","Vol.","Change %"
"04/29/2025","306.06","305.81","306.95","304.00","6.85M","-0.97%"
"04/28/2025","309.07","304.15","309.11","302.97","9.38M","1.42%"
"04/25/2025","304.73","301.78","305.37","301.01","10.69M","-1.08%"
"04/24/2025","308.07","306.98","308.49","304.71","10.84M","1.46%"
"04/23/2025","303.65","304.18","304.74","300.59","25.42M","-2.40%"
"04/22/2025","311.11","317.49","317.63","310.36","35.24M","-1.42%"
"04/21/2025","315.59","315.02","316.41","313.95","20.37M","3.09%"
"04/17/2025","306.12","306.31","307.13","302.73","18.29M","-0.44%"
"04/16/2025","307.47","304.65","308.06","303.80","20.78M","3.25%"
"04/15/2025","297.78","296.93","298.02","296.09","7.92M","0.52%"
"04/14/2025","296.23","295.54","296.58","294.53","12.43M","-0.57%"
"04/11/2025","297.93","297.96","299.27","296.81","21.08M","1.91%"
"04/10/2025","292.35","288.80","292.86","287.23","19.84M","2.44%"
"04/09/2025","285.38","282.22","285.87","281.04","25.34M","3.70%"
"04/08/2025","275.20","277.87","278.32","274.24","12.64M","0.54%"
"04/07/2025","273.71","278.86","280.14","272.58","19.81M","-2.15%"
"04/04/2025","279.72","283.64","284.03","278.02","21.52M","-2.34%"
"04/03/2025","286.42","282.78","289.09","282.45","20.52M","-0.60%"
"04/02/2025","288.16","288.28","289.03","287.36","11.07M","0.21%"
"04/01/2025","287.57","288.54","289.13","285.91","15.92M","-0.20%"
"03/31/2025","288.14","287.53","288.39","285.85","13.93M","1.44%"
"03/28/2025","284.06","283.82","284.64","282.86","9.56M","0.74%"
"03/27/2025","281.97","280.55","282.07","279.59","8.48M","1.34%"
"03/26/2025","278.24","278.93","279.02","277.78","3.74M","-0.08%"
"03/25/2025","278.47","278.78","279.96","278.27","5.09M","0.44%"
"03/24/2025","277.25","278.91","279.09","276.86","7.87M","-0.45%"
"03/21/2025","278.49","279.46","279.46","276.59","9.36M","-0.80%"
"03/20/2025","280.75","279.49","280.90","279.43","5.86M","-0.13%"
"03/19/2025","281.11","279.85","281.48","279.06","8.82M","0.41%"
"03/18/2025","279.96","279.90","280.21","278.97","9.60M","1.17%"
"03/17/2025","276.73","275.54","276.79","275.39","8.58M","0.54%"
"03/14/2025","275.24","276.27","276.30","274.66","13.36M","0.04%"
"03/13/2025","275.13","271.57","275.35","271.55","13.74M","1.78%"
"03/12/2025","270.33","268.47","271.23","268.36","7.24M","0.43%"
"03/11/2025","269.16","268.47","269.73","268.44","8.44M","1.17%"
"03/10/2025","266.04","267.62","268.44","265.64","7.59M","-0.88%"
"03/07/2025","268.39","269.09","270.34","267.64","10.43M","0.05%"
"03/06/2025","268.25","268.25","269.51","268.16","6.14M","-0.51%"
"03/05/2025","269.62","267.97","270.26","267.96","6.99M","0.21%"
"03/04/2025","269.06","269.01","269.40","267.52","8.48M","0.87%"
"03/03/2025","266.74","265.07","266.88","265.07","7.73M","1.32%"
"02/28/2025","263.27","262.55","263.40","261.25","11.50M","-0.63%"
"02/27/2025","264.93","266.49","266.67","264.45","9.37M","-1.52%"
"02/26/2025","269.03","267.08","269.08","266.66","7.28M","0.15%"
"02/25/2025","268.62","271.46","271.68","266.45","10.08M","-1.32%"
"02/24/2025","272.21","271.45","272.32","270.38","5.37M","0.54%"
"02/21/2025","270.74","270.80","271.51","269.51","8.92M","-0.09%"
"02/20/2025","270.99","270.23","271.84","270.17","7.36M","0.05%"
"02/19/2025","270.85","270.68","271.33","269.24","9.34M","0.06%"
"02/18/2025","270.70","269.68","271.01","269.60","8.19M","1.66%"
"02/14/2025","266.29","270.07","270.21","265.45","11.55M","-1.49%"
"02/13/2025","270.31","268.40","270.39","268.22","8.35M","0.99%"
"02/12/2025","267.67","267.15","268.43","266.35","9.33M","0.10%"
"02/11/2025","267.39","267.70","268.36","266.71","7.17M","-0.37%"
"02/10/2025","268.37","268.00","268.66","267.24","13.25M","1.69%"
"02/07/2025","263.90","265.22","266.35","263.26","9.15M","0.18%"
"02/06/2025","263.43","263.66","263.72","261.49","8.73M","-0.27%"
"02/05/2025","264.13","264.45","265.99","263.89","12.68M","0.62%"
"02/04/2025","262.50","261.83","262.54","261.35","9.85M","0.98%"
"02/03/2025","259.94","259.75","261.39","259.52","11.52M","0.53%"
"01/31/2025","258.56","259.08","259.99","257.86","8.97M","0.20%"
"01/30/2025","258.05","257.20","258.29","256.45","12.98M","1.51%"
"01/29/2025","254.20","254.55","254.82","253.30","5.67M","-0.38%"
"01/28/2025","255.18","254.23","255.25","253.89","5.33M","0.87%"
"01/27/2025","252.99","253.86","254.26","251.92","5.80M","-1.04%"
"01/24/2025","255.65","255.96","257.07","255.61","7.34M","0.62%"
"01/23/2025","254.07","253.19","254.54","252.82","6.51M","-0.14%"
"01/22/2025","254.43","254.29","254.68","253.78","5.21M","0.51%"
"01/21/2025","253.13","251.95","253.36","251.83","7.67M","1.55%"
"01/17/2025","249.27","249.70","250.81","249.15","8.31M","-0.53%"
"01/16/2025","250.60","250.56","251.39","250.27","9.24M","0.69%"
"01/15/2025","248.88","248.21","248.90","247.01","6.34M","0.75%"
"01/14/2025","247.03","245.62","247.04","245.52","4.91M","0.52%"
"01/13/2025","245.74","246.34","246.79","245.15","8.45M","-1.00%"
"01/10/2025","248.21","248.01","249.04","247.55","12.38M","0.96%"
"01/08/2025","245.86","245.72","246.45","244.51","6.30M","0.53%"
"01/07/2025","244.56","245.52","245.77","243.81","5.09M","0.56%"
"01/06/2025","243.19","242.33","243.79","242.05","3.76M","-0.12%"
"01/03/2025","243.49","244.56","244.82","243.36","4.88M","-0.79%"
"01/02/2025","245.42","244.22","245.53","244.08","6.24M","1.36%"
"12/31/2024","242.13","241.05","242.52","241.05","2.52M","0.62%"
"12/30/2024","240.63","241.08","241.08","239.58","3.52M","-0.32%"
"12/27/2024","241.40","241.20","241.95","241.05","4.73M","-0.69%"
"12/26/2024","243.07","242.39","243.56","242.20","4.65M","0.68%"
"12/24/2024","241.44","241.49","241.66","240.82","2.42M","0.20%"
"12/23/2024","240.96","241.60","241.67","240.65","5.84M","-0.47%"
"12/20/2024","242.10","241.41","242.96","241.17","9.53M","1.04%"
"12/19/2024","239.60","239.67","240.05","238.73","8.11M","0.14%"
"12/18/2024","239.26","243.57","243.71","238.82","8.02M","-1.92%"
"12/17/2024","243.94","243.80","244.55","243.23","4.42M","-0.38%"
"12/16/2024","244.88","245.41","245.54","244.29","3.31M","0.24%"
"12/13/2024","244.29","245.67","245.94","244.27","6.60M","-1.21%"
"12/12/2024","247.28","247.81","248.24","246.87","10.15M","-1.47%"
"12/11/2024","250.96","249.35","251.26","248.97","11.03M","0.95%"
"12/10/2024","248.59","247.86","248.86","247.83","4.64M","1.32%"
"12/09/2024","245.36","246.28","247.11","245.26","4.71M","0.99%"
"12/06/2024","242.95","242.79","243.86","242.43","3.54M","0.04%"
"12/05/2024","242.86","244.16","244.38","242.15","4.81M","-0.74%"
"12/04/2024","244.67","244.93","245.34","244.37","4.61M","0.30%"
"12/03/2024","243.93","244.96","245.18","243.30","3.56M","0.20%"
"12/02/2024","243.44","244.46","244.58","243.14","4.77M","-0.88%"
"11/29/2024","245.59","245.25","245.81","244.73","2.71M","0.86%"
"11/27/2024","243.49","244.85","245.18","243.20","6.93M","0.22%"
"11/26/2024","242.95","242.71","243.09","241.58","4.95M","0.19%"
"11/25/2024","242.48","244.27","244.40","241.48","10.73M","-2.95%"
"11/22/2024","249.84","248.20","250.39","247.86","7.50M","1.29%"
"11/21/2024","246.66","246.23","246.81","245.69","7.65M","0.83%"
"11/20/2024","244.62","243.74","245.21","243.51","6.63M","0.56%"
"11/19/2024","243.25","242.75","243.31","242.03","6.58M","0.90%"
"11/18/2024","241.09","240.46","241.49","240.45","6.51M","1.90%"
"11/15/2024","236.59","237.57","237.88","236.33","7.30M","-0.18%"
"11/14/2024","237.01","236.57","237.99","236.13","8.26M","-0.26%"
"11/13/2024","237.63","241.31","241.47","237.59","8.43M","-1.01%"
"11/12/2024","240.05","241.29","241.66","239.39","10.15M","-0.86%"
"11/11/2024","242.14","242.73","242.73","241.06","11.65M","-2.35%"
"11/08/2024","247.96","249.07","249.35","247.78","6.27M","-0.68%"
"11/07/2024","249.65","248.29","250.24","248.12","8.82M","1.61%"
"11/06/2024","245.70","245.63","247.35","244.95","14.60M","-3.04%"
"11/05/2024","253.40","253.78","253.99","252.41","6.03M","0.23%"
"11/04/2024","252.83","253.32","253.58","252.27","4.58M","0.14%"
"11/01/2024","252.47","254.33","254.86","252.43","6.47M","-0.41%"
"10/31/2024","253.51","255.52","255.60","252.20","9.93M","-1.55%"
"10/30/2024","257.50","256.76","257.71","255.91","6.39M","0.55%"
"10/29/2024","256.09","254.49","256.29","254.23","8.88M","1.09%"
"10/28/2024","253.33","253.01","253.63","252.95","4.03M","0.00%"
"10/25/2024","253.32","252.00","253.55","251.77","4.42M","0.21%"
"10/24/2024","252.80","253.27","253.32","251.40","5.96M","0.77%"
"10/23/2024","250.87","253.08","253.18","250.20","8.08M","-1.21%"
"10/22/2024","253.93","253.06","253.94","252.52","5.76M","1.08%"
"10/21/2024","251.22","252.74","253.14","250.73","9.26M","-0.02%"
"10/18/2024","251.27","250.00","251.37","249.90","7.83M","1.06%"
"10/17/2024","248.63","247.75","249.06","247.62","5.18M","0.60%"
"10/16/2024","247.15","247.62","248.09","246.36","5.43M","0.50%"
"10/15/2024","245.92","244.99","246.55","244.53","5.64M","0.35%"
"10/14/2024","245.07","245.16","245.86","244.26","3.92M","-0.16%"
"10/11/2024","245.47","244.50","245.92","244.47","5.79M","1.09%"
"10/10/2024","242.82","241.77","243.02","241.51","4.79M","0.73%"
"10/09/2024","241.05","241.16","241.84","240.64","4.12M","-0.54%"
"10/08/2024","242.37","243.79","244.04","240.63","7.67M","-0.74%"
"10/07/2024","244.17","244.58","244.82","243.81","3.85M","-0.34%"
"10/04/2024","245.00","245.00","246.69","244.04","5.95M","-0.20%"
"10/03/2024","245.49","244.72","245.91","243.69","5.67M","-0.07%"
"10/02/2024","245.66","245.61","246.07","243.99","6.80M","0.02%"
"10/01/2024","245.61","245.20","246.98","245.06","10.61M","1.05%"
"09/30/2024","243.06","243.97","244.08","242.50","6.92M","-0.80%"
"09/27/2024","245.02","246.31","246.75","244.19","8.33M","-0.79%"
"09/26/2024","246.98","246.44","247.37","245.19","7.04M","0.51%"
"09/25/2024","245.73","246.19","246.47","244.79","7.39M","-0.14%"
"09/24/2024","246.07","243.39","246.19","243.15","8.39M","1.40%"
"09/23/2024","242.68","242.97","243.46","242.59","5.43M","0.19%"
"09/20/2024","242.21","241.11","242.63","240.47","7.74M","1.27%"
"09/19/2024","239.17","238.24","239.51","237.39","6.11M","1.55%"
"09/18/2024","235.51","238.19","240.29","235.30","11.08M","-0.77%"
"09/17/2024","237.34","238.08","238.60","236.61","5.26M","-0.55%"
"09/16/2024","238.66","238.73","239.28","238.05","4.71M","-0.01%"
"09/13/2024","238.68","238.13","238.98","237.76","7.46M","0.99%"
"09/12/2024","236.33","234.63","236.45","234.42","9.94M","1.76%"
"09/11/2024","232.25","231.72","232.87","231.09","4.64M","-0.16%"
"09/10/2024","232.62","232.39","232.74","231.12","4.38M","0.44%"
"09/09/2024","231.60","231.26","231.62","230.39","3.55M","0.42%"
"09/06/2024","230.63","231.83","232.76","229.62","6.32M","-0.74%"
"09/05/2024","232.35","232.72","232.89","231.33","4.84M","0.83%"
"09/04/2024","230.43","229.79","231.06","229.38","4.70M","0.06%"
"09/03/2024","230.29","230.38","230.54","228.52","6.42M","-0.43%"
"08/30/2024","231.29","232.53","232.86","230.55","5.74M","-0.71%"
"08/29/2024","232.95","231.95","233.61","231.92","5.52M","0.52%"
"08/28/2024","231.75","232.00","232.02","230.73","4.96M","-0.70%"
"08/27/2024","233.39","231.69","233.47","231.57","4.44M","0.27%"
"08/26/2024","232.76","233.45","233.50","232.06","3.15M","0.32%"
"08/23/2024","232.02","231.04","232.73","230.52","5.42M","1.16%"
"08/22/2024","229.37","230.35","230.38","228.26","5.77M","-1.20%"
"08/21/2024","232.15","231.69","232.87","230.48","5.34M","-0.13%"
"08/20/2024","232.46","233.71","234.01","231.13","9.07M","0.37%"
"08/19/2024","231.61","230.15","231.78","229.74","5.16M","-0.16%"
"08/16/2024","231.99","229.99","232.02","229.01","11.92M","2.24%"
"08/15/2024","226.91","226.51","227.50","225.12","5.27M","0.31%"
"08/14/2024","226.20","226.55","227.48","225.35","5.46M","-0.82%"
"08/13/2024","228.06","228.07","228.87","227.59","6.74M","-0.15%"
"08/12/2024","228.41","226.14","228.54","225.96","5.56M","1.71%"
"08/09/2024","224.56","224.82","225.28","223.82","4.44M","0.25%"
"08/08/2024","224.01","222.73","224.25","222.51","6.33M","1.57%"
"08/07/2024","220.55","221.94","222.31","220.35","5.29M","-0.07%"
"08/06/2024","220.70","221.50","222.14","220.11","14.36M","-0.80%"
"08/05/2024","222.48","220.56","223.10","220.24","8.94M","-1.27%"
"08/02/2024","225.34","227.95","228.76","222.87","11.11M","-0.19%"
"08/01/2024","225.77","226.74","227.57","225.05","7.22M","-0.34%"
"07/31/2024","226.55","223.73","226.60","223.64","7.32M","1.81%"
"07/30/2024","222.52","221.41","222.92","220.35","4.94M","1.00%"
"07/29/2024","220.32","221.26","221.55","219.04","4.67M","-0.14%"
"07/26/2024","220.63","219.96","221.04","219.70","6.33M","1.05%"
"07/25/2024","218.33","219.02","219.26","217.52","9.78M","-1.56%"
"07/24/2024","221.80","223.47","224.88","221.74","6.84M","-0.35%"
"07/23/2024","222.58","222.34","222.75","221.86","4.44M","0.35%"
"07/22/2024","221.80","221.58","221.92","220.40","5.33M","0.03%"
"07/19/2024","221.73","221.52","222.68","221.41","8.67M","-1.79%"
"07/18/2024","225.78","227.71","228.32","225.57","5.49M","-0.64%"
"07/17/2024","227.23","228.79","229.65","226.67","8.62M","-0.46%"
"07/16/2024","228.29","225.45","228.29","225.30","11.07M","1.99%"
"07/15/2024","223.83","223.39","225.59","223.02","5.72M","0.32%"
"07/12/2024","223.11","222.03","223.62","221.86","5.18M","-0.06%"
"07/11/2024","223.25","222.65","224.15","221.48","9.32M","1.77%"
"07/10/2024","219.36","220.14","220.71","219.16","5.56M","0.37%"
"07/09/2024","218.56","218.57","219.29","217.26","3.90M","0.17%"
"07/08/2024","218.19","219.64","220.04","217.41","5.79M","-1.24%"
"07/05/2024","220.93","219.58","221.28","219.58","5.95M","1.35%"
"07/03/2024","217.99","217.34","218.74","217.33","5.06M","1.13%"
"07/02/2024","215.56","215.33","216.08","214.62","4.92M","0.00%"
"07/01/2024","215.57","215.25","216.00","214.49","3.80M","0.26%"
"06/28/2024","215.01","215.64","215.81","214.82","3.96M","0.01%"
"06/27/2024","214.99","214.71","215.50","214.45","4.98M","1.13%"
"06/26/2024","212.58","212.39","213.11","212.12","4.69M","-0.92%"
"06/25/2024","214.56","214.96","215.31","214.12","3.85M","-0.50%"
"06/24/2024","215.63","215.55","215.94","215.20","4.63M","0.40%"
"06/21/2024","214.78","217.83","217.90","214.26","8.94M","-1.55%"
"06/20/2024","218.16","216.32","218.74","216.15","7.29M","1.25%"
"06/18/2024","215.47","214.38","215.83","214.04","4.92M","0.40%"
"06/17/2024","214.61","214.90","215.24","213.60","3.88M","-0.52%"
"06/14/2024","215.73","215.34","216.04","214.98","7.08M","1.30%"
"06/13/2024","212.97","214.44","214.96","212.26","5.86M","-0.82%"
"06/12/2024","214.72","216.47","216.55","214.20","5.91M","0.27%"
"06/11/2024","214.15","213.95","214.38","213.24","4.00M","0.29%"
"06/10/2024","213.54","213.13","214.02","212.76","4.22M","0.92%"
"06/07/2024","211.60","215.07","215.19","211.54","12.20M","-3.57%"
"06/06/2024","219.43","218.36","219.97","218.10","5.28M","0.74%"
"06/05/2024","217.82","216.69","218.08","215.93","5.48M","1.18%"
"06/04/2024","215.27","216.24","216.24","214.20","5.51M","-0.90%"
"06/03/2024","217.22","215.92","217.82","215.54","6.17M","0.89%"
"05/31/2024","215.30","217.77","217.96","214.65","5.62M","-0.59%"
"05/30/2024","216.57","216.69","217.51","216.41","3.07M","0.19%"
"05/29/2024","216.16","216.92","217.16","216.12","4.18M","-0.93%"
"05/28/2024","218.19","218.43","218.59","217.21","3.81M","1.05%"
"05/24/2024","215.92","216.96","217.21","215.74","4.21M","0.09%"
"05/23/2024","215.72","218.78","219.23","215.66","9.54M","-1.99%"
"05/22/2024","220.11","223.09","223.24","219.74","8.90M","-1.84%"
"05/21/2024","224.23","224.77","225.21","223.70","4.00M","-0.15%"
"05/20/2024","224.56","223.79","225.66","223.02","5.99M","0.40%"
"05/17/2024","223.66","222.18","223.85","221.67","10.48M","1.65%"
"05/16/2024","220.03","220.14","220.59","219.41","4.30M","-0.39%"
"05/15/2024","220.89","219.06","221.19","217.65","9.30M","1.28%"
"05/14/2024","218.09","217.31","218.38","216.98","4.66M","0.85%"
"05/13/2024","216.26","217.06","217.31","215.80","4.90M","-1.12%"
"05/10/2024","218.71","219.22","219.60","218.08","8.70M","0.81%"
"05/09/2024","216.95","214.48","216.95","214.44","7.73M","1.58%"
"05/08/2024","213.58","213.62","214.80","213.50","4.46M","-0.29%"
"05/07/2024","214.21","214.52","214.93","213.88","5.66M","-0.46%"
"05/06/2024","215.20","215.14","215.91","214.47","6.84M","1.05%"
"05/03/2024","212.96","212.89","213.23","210.71","8.68M","-0.08%"
"05/02/2024","213.13","211.90","213.71","211.49","6.29M","-0.31%"
"05/01/2024","213.79","212.96","215.50","212.41","10.37M","0.91%"
"04/30/2024","211.87","213.38","214.13","211.80","11.25M","-1.99%"
"04/29/2024","216.18","216.02","217.21","215.25","6.41M","-0.20%"
"04/26/2024","216.62","216.77","217.07","215.53","6.27M","0.32%"
"04/25/2024","215.92","214.47","217.05","214.34","6.61M","0.60%"
"04/24/2024","214.64","214.76","216.35","214.36","5.74M","-0.19%"
"04/23/2024","215.04","213.96","215.86","213.87","10.73M","-0.25%"
"04/22/2024","215.57","216.35","216.96","215.14","13.40M","-2.47%"
"04/19/2024","221.03","220.49","222.36","220.08","8.69M","0.31%"
"04/18/2024","220.34","221.31","221.46","219.31","6.50M","0.34%"
"04/17/2024","219.59","221.05","221.76","218.52","11.52M","-0.74%"
"04/16/2024","221.22","220.18","221.99","218.78","10.75M","0.12%"
"04/15/2024","220.95","217.94","221.03","215.16","13.24M","1.87%"
"04/12/2024","216.89","221.87","225.09","216.02","30.90M","-1.32%"
"04/11/2024","219.80","216.85","219.84","215.89","11.42M","1.94%"
"04/10/2024","215.61","215.37","217.78","214.68","13.32M","-0.95%"
"04/09/2024","217.67","217.81","218.86","216.45","13.08M","0.55%"
"04/08/2024","216.48","215.98","216.81","214.61","10.33M","0.62%"
"04/05/2024","215.14","212.49","215.74","212.22","13.38M","1.71%"
"04/04/2024","211.52","212.00","213.45","211.02","12.31M","-0.57%"
"04/03/2024","212.74","210.57","212.83","210.30","11.42M","0.88%"
"04/02/2024","210.89","209.07","211.03","208.36","13.42M","1.48%"
"04/01/2024","207.82","208.68","208.73","206.29","13.68M","1.02%"
"03/28/2024","205.72","204.54","206.05","203.87","9.19M","1.29%"
"03/27/2024","203.10","202.32","203.22","202.32","6.04M","0.72%"
"03/26/2024","201.64","202.65","202.76","201.07","5.75M","0.32%"
"03/25/2024","200.99","201.19","201.95","200.96","4.03M","0.32%"
"03/22/2024","200.35","201.32","201.86","199.71","6.92M","-0.80%"
"03/21/2024","201.97","203.88","203.92","200.60","7.40M","-0.10%"
"03/20/2024","202.18","199.16","202.66","199.12","9.59M","1.19%"
"03/19/2024","199.80","199.62","199.81","198.93","4.66M","-0.11%"
"03/18/2024","200.03","199.66","200.15","199.51","7.21M","0.16%"
"03/15/2024","199.71","199.94","200.63","199.57","4.56M","-0.32%"
"03/14/2024","200.35","200.37","200.47","199.34","6.87M","-0.42%"
"03/13/2024","201.19","200.44","201.86","200.35","5.93M","0.70%"
"03/12/2024","199.79","200.42","200.63","199.16","9.44M","-1.09%"
"03/11/2024","202.00","201.71","202.41","201.46","7.33M","0.18%"
"03/08/2024","201.63","200.89","203.30","200.45","13.54M","0.85%"
"03/07/2024","199.94","199.54","200.11","198.91","8.40M","0.57%"
"03/06/2024","198.81","198.08","199.30","197.44","10.46M","0.82%"
"03/05/2024","197.19","197.44","198.14","196.65","9.67M","0.60%"
"03/04/2024","196.01","194.15","196.33","193.88","12.22M","1.62%"
"03/01/2024","192.89","190.27","193.40","189.44","13.41M","1.89%"
"02/29/2024","189.31","189.64","189.92","189.23","6.85M","0.52%"
"02/28/2024","188.34","188.34","188.52","188.03","2.82M","0.18%"
"02/27/2024","188.00","188.58","188.72","187.88","5.17M","-0.11%"
"02/26/2024","188.20","187.79","188.36","187.53","4.49M","-0.22%"
"02/23/2024","188.62","187.56","189.18","187.46","6.83M","0.57%"
"02/22/2024","187.56","187.56","187.64","187.05","4.55M","0.04%"
"02/21/2024","187.48","187.88","188.04","187.10","5.79M","0.01%"
"02/20/2024","187.47","187.96","188.03","187.40","5.53M","0.61%"
"02/16/2024","186.34","185.08","186.67","184.84","6.52M","0.37%"
"02/15/2024","185.66","185.60","186.02","185.10","6.23M","0.67%"
"02/14/2024","184.42","184.27","184.88","183.78","7.03M","-0.06%"
"02/13/2024","184.53","185.35","185.38","184.33","9.53M","-1.38%"
"02/12/2024","187.11","186.60","187.27","186.36","4.71M","-0.26%"
"02/09/2024","187.60","187.56","187.77","187.14","4.41M","-0.39%"
"02/08/2024","188.33","187.91","188.53","187.82","3.87M","-0.09%"
"02/07/2024","188.50","188.45","189.39","188.28","6.28M","-0.03%"
"02/06/2024","188.55","187.94","188.85","187.74","4.87M","0.52%"
"02/05/2024","187.57","186.88","187.82","186.70","5.44M","-0.55%"
"02/02/2024","188.61","188.07","188.87","187.85","7.34M","-0.95%"
"02/01/2024","190.41","189.71","191.36","188.99","10.28M","1.04%"
"01/31/2024","188.45","189.37","190.46","188.13","7.89M","-0.07%"
"01/30/2024","188.59","189.70","189.83","187.98","4.98M","0.14%"
"01/29/2024","188.33","188.31","188.54","187.19","5.63M","0.71%"
"01/26/2024","187.01","187.27","187.38","186.76","5.06M","-0.07%"
"01/25/2024","187.14","187.34","187.64","186.46","4.65M","0.40%"
"01/24/2024","186.40","188.33","188.37","186.32","6.09M","-0.82%"
"01/23/2024","187.95","187.45","188.15","187.28","5.04M","0.39%"
"01/22/2024","187.22","187.23","187.76","186.85","4.40M","-0.38%"
"01/19/2024","187.93","188.26","188.30","187.44","5.72M","0.30%"
"01/18/2024","187.37","186.36","187.40","186.30","4.69M","0.82%"
"01/17/2024","185.84","187.31","187.42","185.45","8.64M","-1.10%"
"01/16/2024","187.91","189.15","189.26","187.54","6.55M","-0.95%"
"01/12/2024","189.71","190.67","191.08","189.16","6.83M","0.98%"
"01/11/2024","187.87","188.02","188.55","186.56","6.83M","0.20%"
"01/10/2024","187.50","188.14","188.44","187.21","4.50M","-0.23%"
"01/09/2024","187.93","188.68","188.78","187.73","4.44M","0.03%"
"01/08/2024","187.87","187.21","188.74","187.11","6.21M","-0.78%"
"01/05/2024","189.35","189.68","191.26","189.08","7.48M","0.02%"
"01/04/2024","189.32","189.08","189.75","188.69","4.42M","0.10%"
"01/03/2024","189.13","188.77","189.86","188.16","8.66M","-0.83%"
"01/02/2024","190.72","191.44","191.89","190.50","6.03M","-0.24%"
"12/29/2023","191.17","190.99","191.64","190.74","4.61M","-0.16%"
"12/28/2023","191.47","192.34","192.89","191.44","6.17M","-0.58%"
"12/27/2023","192.59","191.77","193.18","191.54","5.81M","0.45%"
"12/26/2023","191.72","190.97","191.74","190.40","4.50M","0.76%"
"12/22/2023","190.27","191.60","191.88","190.07","7.18M","0.44%"
"12/21/2023","189.43","189.21","189.62","188.75","4.62M","0.71%"
"12/20/2023","188.10","188.69","188.96","188.09","6.00M","-0.54%"
"12/19/2023","189.13","188.23","189.72","188.13","6.03M","0.68%"
